r_id,ageyrs,startingocc,startingsector,endingocc,endingsector,abswagech3,sectorchgto_mgmt,gender,Education at start,Education at end,Starting occupational cluster,Alternate starting occupational cluster,path
2164030p,34.0,2600,Arts and Entertainment,2600.0,All other,22.574852,0,F,1,1,All other,Arts and Entertainment,2600
2465,22.583334,2720,Arts and Entertainment,2310.0,Educ/Legal/Social Services,16.611198,0,F,1,3,All other,Arts and Entertainment,"2720, 3950, 2720, 3950, 2310"
2308,18.25,2750,Arts and Entertainment,2750.0,All other,20.359711,0,M,0,1,All other,Arts and Entertainment,"2750, 'Unemployed', 2750"
1624037p,24.0,2630,Arts and Entertainment,2630.0,All other,2.1505013,0,F,3,3,All other,Arts and Entertainment,2630
1445037p,26.0,2720,Arts and Entertainment,2720.0,All other,4.309948,0,M,3,3,All other,Arts and Entertainment,2720
321182p,28.0,2720,Arts and Entertainment,2720.0,All other,-0.856493,0,M,3,3,All other,Arts and Entertainment,2720
631035p,25.0,2630,Arts and Entertainment,2630.0,All other,3.7215328,0,M,3,3,All other,Arts and Entertainment,2630
1867031p,24.0,2720,Arts and Entertainment,2720.0,All other,-7.293396,0,M,1,1,All other,Arts and Entertainment,2720
2435188p,31.0,2630,Arts and Entertainment,2630.0,All other,0.990242,0,M,3,3,All other,Arts and Entertainment,2630
118,26.416666,2920,Arts and Entertainment,2920.0,All other,0.029380798,0,M,3,3,All other,Arts and Entertainment,2920
709198p,26.0,2910,Arts and Entertainment,2910.0,All other,10.40529,0,F,0,0,All other,Arts and Entertainment,2910
823031p,30.0,2920,Arts and Entertainment,2900.0,All other,6.3903751,0,M,2,2,All other,Arts and Entertainment,"2920, 2900"
2282031p,26.0,2920,Arts and Entertainment,2920.0,All other,8.86483,0,M,3,3,All other,Arts and Entertainment,2920
2341180p,22.0,2800,Arts and Entertainment,20.0,Mgmt/Biz/Financial,2.8073339,1,F,3,3,All other,Arts and Entertainment,"2800, 20"
1335206p,24.0,2630,Arts and Entertainment,2630.0,All other,-17.930477,0,M,3,3,All other,Arts and Entertainment,2630
2225034p,26.0,2720,Arts and Entertainment,4320.0,Personal Service,7.4123116,0,F,3,3,All other,Arts and Entertainment,"2720, 4320"
2126172p,29.0,2630,Arts and Entertainment,2630.0,All other,-4.7691612,0,M,3,3,All other,Arts and Entertainment,2630
2133176p,30.0,2900,Arts and Entertainment,4710.0,Sales,8.2962952,0,M,1,1,All other,Arts and Entertainment,"2900, 4710"
860,23.083334,2750,Arts and Entertainment,2750.0,All other,11.328274,0,M,2,2,All other,Arts and Entertainment,2750
519030p,31.0,2720,Arts and Entertainment,4620.0,Personal Service,-0.095842361,0,F,3,3,All other,Arts and Entertainment,"2720, 4620"
455031p,25.0,200,Agriculture,200.0,All other,5.2911148,0,M,0,0,All other,Agriculture,200
130,24.583334,2630,Arts and Entertainment,2630.0,All other,-3.1297073,0,F,1,1,All other,Arts and Entertainment,2630
1242185p,23.0,2750,Arts and Entertainment,2050.0,Educ/Legal/Social Services,0.10751915,0,M,3,3,All other,Arts and Entertainment,"2750, 2050"
3249170p,26.0,2600,Arts and Entertainment,,Not Employed,,0,F,0,0,All other,Arts and Entertainment,"2600, 'Unemployed'"
1170,19.333334,2600,Arts and Entertainment,2900.0,All other,5.0868921,0,M,1,1,All other,Arts and Entertainment,"2600, 'Student', 1000, 2900, 6940, 2900"
691034p,22.0,2720,Arts and Entertainment,4620.0,Personal Service,3.6417408,0,M,1,1,All other,Arts and Entertainment,"2720, 4620"
2062190p,22.0,2720,Arts and Entertainment,,Not Employed,,0,F,1,1,All other,Arts and Entertainment,"2720, 'Unemployed'"
228030p,24.0,2600,Arts and Entertainment,2630.0,All other,8.7961884,0,F,3,3,All other,Arts and Entertainment,"2600, 430, 2630"
595,28.833334,2760,Arts and Entertainment,2760.0,All other,42.10054,0,F,1,1,All other,Arts and Entertainment,"2760, 'Unemployed', 2760, 'Unemployed', 2760"
2753174p,23.0,2630,Arts and Entertainment,2600.0,All other,9.0314884,0,F,3,3,All other,Arts and Entertainment,"2630, 2600"
3237008p,19.0,200,Agriculture,,Not Employed,,0,M,1,1,All other,Agriculture,"200, 'Unemployed', 4950, 'Unemployed'"
5397033p,26.0,2720,Arts and Entertainment,2720.0,All other,0.78787136,0,M,1,1,All other,Arts and Entertainment,"2720, 'Unemployed', 2720"
1850179p,28.0,2630,Arts and Entertainment,2630.0,All other,-0.47206688,0,F,3,3,All other,Arts and Entertainment,2630
5299043p,21.0,6120,Agriculture,4250.0,Personal Service,-4.2175407,0,M,1,1,All other,Agriculture,"6120, 4250"
3162170p,31.0,2900,Arts and Entertainment,2900.0,All other,3.9007435,0,M,3,3,All other,Arts and Entertainment,2900
1540180p,28.0,2630,Arts and Entertainment,2630.0,All other,-5.5382385,0,F,3,3,All other,Arts and Entertainment,2630
1302180p,25.0,2630,Arts and Entertainment,2630.0,All other,23.713989,0,F,3,3,All other,Arts and Entertainment,2630
133176p,24.0,2740,Arts and Entertainment,2740.0,All other,11.328274,0,F,1,1,All other,Arts and Entertainment,2740
173032p,29.0,2600,Arts and Entertainment,2600.0,All other,16.144924,0,F,3,3,All other,Arts and Entertainment,2600
1960184p,26.0,2900,Arts and Entertainment,2010.0,Educ/Legal/Social Services,0.035777092,0,M,3,3,All other,Arts and Entertainment,"2900, 'Unemployed', 2020, 2010"
1621032p,24.0,2920,Arts and Entertainment,2320.0,Educ/Legal/Social Services,10.127007,0,F,3,3,All other,Arts and Entertainment,"2920, 2320"
4156,27.083334,2920,Arts and Entertainment,2920.0,All other,33.605907,0,M,1,1,All other,Arts and Entertainment,2920
5277030p,26.0,2630,Arts and Entertainment,50.0,Mgmt/Biz/Financial,-3.3619566,1,M,1,1,All other,Arts and Entertainment,"2630, 50"
302184p,31.0,2600,Arts and Entertainment,2920.0,All other,-0.15171814,0,F,3,3,All other,Arts and Entertainment,"2600, 2920"
1162034p,23.0,210,Agriculture,200.0,All other,-10.72032,0,M,2,2,All other,Agriculture,"210, 200"
2566034p,31.0,210,Agriculture,6050.0,All other,0.17001247,0,F,2,2,All other,Agriculture,"210, 6050"
582032p,24.0,2910,Arts and Entertainment,10.0,Mgmt/Biz/Financial,-16.993343,1,M,1,1,All other,Arts and Entertainment,"2910, 10"
1328178p,23.0,2630,Arts and Entertainment,2600.0,All other,2.2408829,0,M,1,1,All other,Arts and Entertainment,"2630, 2600"
1575,20.333334,2720,Arts and Entertainment,2720.0,All other,4.2602186,0,F,1,1,All other,Arts and Entertainment,2720
779178p,25.0,2910,Arts and Entertainment,2910.0,All other,3.9775476,0,F,1,1,All other,Arts and Entertainment,2910
1622,18.083334,2700,Arts and Entertainment,2740.0,All other,48.491158,0,F,0,1,All other,Arts and Entertainment,"2700, 2740, 2700, 4900, 2740"
2615037p,29.0,210,Agriculture,210.0,All other,8.7471495,0,M,3,3,All other,Agriculture,210
1178176p,26.0,2750,Arts and Entertainment,2750.0,All other,20.468397,0,M,3,3,All other,Arts and Entertainment,2750
596035p,28.0,2750,Arts and Entertainment,2750.0,All other,15.382038,0,M,3,3,All other,Arts and Entertainment,"2750, 'Unemployed', 2750"
1169179p,22.0,210,Agriculture,200.0,All other,11.897524,0,M,1,1,All other,Agriculture,"210, 200"
5442184p,22.0,6000,Agriculture,,Not Employed,,0,F,0,1,All other,Agriculture,"6000, 'Unemployed'"
4918,33.416668,200,Agriculture,200.0,All other,-0.31918144,0,M,2,2,All other,Agriculture,200
1130032p,25.0,2630,Arts and Entertainment,2630.0,All other,29.304468,0,M,3,3,All other,Arts and Entertainment,2630
1141192p,28.0,2900,Arts and Entertainment,7420.0,Maintenance/Repair,2.8397408,0,M,1,1,All other,Arts and Entertainment,"2900, 7420"
641031p,26.0,200,Agriculture,210.0,All other,13.477318,0,M,1,1,All other,Agriculture,"200, 210"
1000033p,22.0,2630,Arts and Entertainment,2600.0,All other,0.92800903,0,M,3,3,All other,Arts and Entertainment,"2630, 2600"
18030p,30.0,210,Agriculture,210.0,All other,-3.796979,0,M,1,1,All other,Agriculture,210
5170195p,32.0,2720,Arts and Entertainment,2720.0,All other,8.9738026,0,M,3,3,All other,Arts and Entertainment,2720
6591187p,23.0,2600,Arts and Entertainment,2630.0,All other,2.8803558,0,F,3,3,All other,Arts and Entertainment,"2600, 'Unemployed', 2600, 'Unemployed', 2630"
2255171p,28.0,200,Agriculture,200.0,All other,15.43181,0,M,3,3,All other,Agriculture,200
311,23.833334,2720,Arts and Entertainment,430.0,Mgmt/Biz/Financial,17.366528,1,M,1,3,All other,Arts and Entertainment,"2720, 'Student', 2720, 'Student', 4240, 2720, 430"
809170p,33.0,2630,Arts and Entertainment,6320.0,Construction,7.9162827,0,F,1,1,All other,Arts and Entertainment,"2630, 5700, 6320"
2765,24.75,2910,Arts and Entertainment,2910.0,All other,1.2450628,0,M,1,1,All other,Arts and Entertainment,2910
618031p,21.0,2750,Arts and Entertainment,60.0,Mgmt/Biz/Financial,12.419588,1,M,3,3,All other,Arts and Entertainment,"2750, 60"
878030p,33.0,2630,Arts and Entertainment,40.0,Sales,12.90803,0,M,1,1,All other,Arts and Entertainment,"2630, 40"
2566175p,24.0,210,Agriculture,6050.0,All other,-6.6076927,0,M,2,2,All other,Agriculture,"210, 6050"
6634,18.416666,2720,Arts and Entertainment,,Not Employed,,0,M,0,1,All other,Arts and Entertainment,"2720, 'Student', 'Unemployed'"
963173p,29.0,2630,Arts and Entertainment,2630.0,All other,12.776255,0,F,3,3,All other,Arts and Entertainment,"2630, 'Unemployed', 2630"
1608030p,30.0,2630,Arts and Entertainment,2630.0,All other,-5.163805,0,F,2,2,All other,Arts and Entertainment,2630
84032p,24.0,2630,Arts and Entertainment,2630.0,All other,-4.54527,0,M,1,1,All other,Arts and Entertainment,2630
5492,20.25,2630,Arts and Entertainment,,Not Employed,,0,M,1,2,All other,Arts and Entertainment,"2630, 'Unemployed'"
1663032p,26.0,2720,Arts and Entertainment,2720.0,All other,14.975657,0,M,3,3,All other,Arts and Entertainment,2720
2297181p,29.0,2630,Arts and Entertainment,2630.0,All other,-4.2608643,0,F,2,2,All other,Arts and Entertainment,2630
1163178p,24.0,200,Agriculture,200.0,All other,4.4961281,0,M,3,3,All other,Agriculture,200
6546,19.166666,2910,Arts and Entertainment,5300.0,Office & Admin Sppt,2.9394684,0,F,0,1,All other,Arts and Entertainment,"2910, 'Unemployed', 'Student', 'Unemployed', 5300"
2649030p,32.0,2630,Arts and Entertainment,3400.0,Healthcare,-22.469339,0,M,1,1,All other,Arts and Entertainment,"2630, 4430, 3400"
547,23.25,2720,Arts and Entertainment,2720.0,All other,11.328274,0,M,1,3,All other,Arts and Entertainment,2720
2727030p,28.0,2910,Arts and Entertainment,20.0,Mgmt/Biz/Financial,-9.9721375,1,F,1,1,All other,Arts and Entertainment,"2910, 20"
2198182p,26.0,2630,Arts and Entertainment,2630.0,All other,27.502623,0,F,3,3,All other,Arts and Entertainment,2630
1371,27.166666,2910,Arts and Entertainment,2910.0,All other,10.100521,0,M,3,0,All other,Arts and Entertainment,2910
1901172p,25.0,2750,Arts and Entertainment,5240.0,Office & Admin Sppt,3.1940823,0,M,3,3,All other,Arts and Entertainment,"2750, 'Unemployed', 5240"
2250033p,24.0,2630,Arts and Entertainment,2630.0,All other,0.045338631,0,F,3,3,All other,Arts and Entertainment,2630
2201,22.166666,2720,Arts and Entertainment,,Not Employed,,0,F,0,1,All other,Arts and Entertainment,"2720, 'Student', 'Unemployed', 'Student'"
308195p,30.0,2720,Arts and Entertainment,2720.0,All other,2.2055397,0,M,3,3,All other,Arts and Entertainment,2720
3388,18.916666,2720,Arts and Entertainment,2720.0,All other,-1.2171402,0,M,1,0,All other,Arts and Entertainment,"2720, 'Unemployed', 2720, 'Unemployed', 2720, 'Unemployed', 2720"
631034p,24.0,2630,Arts and Entertainment,2630.0,All other,2.863905,0,F,3,3,All other,Arts and Entertainment,2630
8241,21.083334,2800,Arts and Entertainment,,Not Employed,,0,M,1,1,All other,Arts and Entertainment,"2800, 'Unemployed'"
1048226p,26.0,6260,Construction,6260.0,Construction,-4.2780371,0,M,1,1,Construction,,6260
88035p,22.0,6260,Construction,220.0,Construction,8.8281555,0,M,1,1,Construction,,"6260, 220"
356030p,31.0,6230,Construction,210.0,All other,-25.28688,0,M,1,1,Construction,,"6230, 210"
6127032p,26.0,6350,Construction,6350.0,Construction,12.025574,0,M,1,1,Construction,,"6350, 9810, 'Unemployed', 6350"
3249171p,27.0,6260,Construction,,Not Employed,,0,F,1,1,Construction,,"6260, 'Unemployed', 6320, 'Unemployed'"
7326,20.5,6260,Construction,,Not Employed,,0,M,0,0,Construction,,"6260, 'Unemployed', 9990, 6260, 'Unemployed', 6260, 'Unemployed'"
2075177p,23.0,6300,Construction,,Not Employed,,0,M,0,0,Construction,,"6300, 'Unemployed'"
2278030p,34.0,6230,Construction,4060.0,Personal Service,0.90532303,0,M,1,1,Construction,,"6230, 4060"
5538,18.583334,6240,Construction,6240.0,Construction,12.530277,0,M,0,1,Construction,,6240
5215172p,22.0,6260,Construction,,Not Employed,,0,M,0,0,Construction,,"6260, 'Unemployed', 6260, 'Unemployed'"
2579030p,31.0,6350,Construction,6350.0,Construction,-0.58238411,0,M,3,3,Construction,,6350
808031p,28.0,6260,Construction,220.0,Construction,3.571249,0,M,1,1,Construction,,"6260, 220"
308194p,26.0,6260,Construction,6260.0,Construction,8.0447807,0,M,1,1,Construction,,6260
1886,19.583334,6320,Construction,6320.0,Construction,-7.4948959,0,M,1,1,Construction,,"6320, 'Unemployed', 6320"
478179p,27.0,6260,Construction,6260.0,Construction,-4.8471947,0,M,1,1,Construction,,6260
647032p,23.0,6230,Construction,6230.0,Construction,2.5001812,0,M,1,1,Construction,,"6230, 9810, 6230"
6583179p,27.0,6200,Construction,6200.0,Construction,-1.7170944,0,M,1,1,Construction,,6200
2225032p,26.0,6260,Construction,1320.0,Engineer/Sci/Arch,-7.7190208,0,M,2,2,Construction,,"6260, 1320"
696,23.666666,6320,Construction,6320.0,Construction,0.090774536,0,M,0,0,Construction,,6320
2614036p,21.0,6260,Construction,600.0,Mgmt/Biz/Financial,1.5664177,0,M,1,1,Construction,,"6260, 600"
586175p,33.0,6200,Construction,6200.0,Construction,-8.6973915,0,M,1,1,Construction,,6200
2111,20.166666,6350,Construction,6350.0,Construction,12.720108,0,M,0,1,Construction,,6350
2614035p,26.0,6200,Construction,6200.0,Construction,2.1631336,0,M,1,1,Construction,,6200
5826034p,25.0,6200,Construction,6200.0,Construction,10.248465,0,M,2,2,Construction,,6200
2278033p,33.0,6200,Construction,1740.0,Engineer/Sci/Arch,-6.4113808,0,M,3,3,Construction,,"6200, 1740"
1445035p,20.0,6420,Construction,2000.0,Educ/Legal/Social Services,-2.5759258,0,M,1,1,Construction,,"6420, 'Unemployed', 6420, 2000"
433033p,21.0,6260,Construction,6260.0,Construction,1.9797497,0,M,0,1,Construction,,"6260, 'Unemployed', 6260"
5628033p,26.0,6260,Construction,,Not Employed,,0,M,0,0,Construction,,"6260, 'Unemployed'"
3264170p,23.0,6200,Construction,6600.0,Construction,13.150703,0,M,1,1,Construction,,"6200, 6600"
751189p,27.0,6700,Construction,6700.0,Construction,14.129429,0,M,1,1,Construction,,6700
250030p,32.0,6320,Construction,6200.0,Construction,1.6643467,0,M,0,0,Construction,,"6320, 6200"
1037033p,29.0,6200,Construction,6200.0,Construction,33.583767,0,M,1,1,Construction,,6200
6545031p,27.0,6320,Construction,,Not Employed,,0,M,0,0,Construction,,"6320, 'Unemployed', 6320, 'Unemployed'"
5429,18.916666,6260,Construction,6260.0,Construction,8.2406425,0,M,0,1,Construction,,6260
6396,21.833334,6350,Construction,6350.0,Construction,13.107432,0,M,1,2,Construction,,"6350, 'Student', 6050, 6350"
6053033p,29.0,6260,Construction,4220.0,Personal Service,-0.47243404,0,M,1,1,Construction,,"6260, 4220"
1725,21.416666,6220,Construction,6220.0,Construction,-1.5056553,0,M,0,0,Construction,,6220
2603179p,21.0,6260,Construction,6260.0,Construction,5.2847853,0,M,1,1,Construction,,6260
7982,25.75,6230,Construction,,Not Employed,,0,M,0,0,Construction,,"6230, 'Unemployed', 6230, 'Unemployed'"
7953,24.166666,6260,Construction,,Not Employed,,0,M,1,1,Construction,,"6260, 'Unemployed'"
1498034p,19.0,6230,Construction,8220.0,Production,-1.5535717,0,M,1,1,Construction,,"6230, 'Unemployed', 6230, 8220"
1695243p,25.0,6350,Construction,6350.0,Construction,5.1096745,0,M,1,1,Construction,,6350
709202p,33.0,6200,Construction,,Not Employed,,0,M,0,0,Construction,,"6200, 'Unemployed'"
5537208p,26.0,6510,Construction,6510.0,Construction,0.14131927,0,M,0,0,Construction,,6510
5872035p,23.0,6260,Construction,,Not Employed,,0,F,1,1,Construction,,"6260, 'Unemployed'"
5683201p,32.0,6320,Construction,6320.0,Construction,7.0987873,0,M,1,1,Construction,,6320
1088031p,29.0,6240,Construction,6240.0,Construction,0.65515137,0,M,1,1,Construction,,6240
1939032p,30.0,6440,Construction,,Not Employed,,0,M,1,1,Construction,,"6440, 'Unemployed', 6440, 'Unemployed'"
1740031p,32.0,6420,Construction,3410.0,Healthcare,-0.15597153,0,M,1,1,Construction,,"6420, 'Unemployed', 7620, 3410"
2055030p,25.0,6820,Construction,6820.0,Construction,-5.9527149,0,M,1,1,Construction,,6820
3721,19.5,6350,Construction,6350.0,Construction,-1.994133,0,M,1,0,Construction,,6350
2186,19.333334,6440,Construction,6440.0,Construction,1.8801451,0,M,0,1,Construction,,6440
6210031p,28.0,6440,Construction,,Not Employed,,0,M,1,1,Construction,,"6440, 'Unemployed', 6440, 'Unemployed', 6440, 'Unemployed'"
2901030p,29.0,6350,Construction,6350.0,Construction,5.9429798,0,M,1,2,Construction,,6350
1709183p,20.0,6840,Construction,6840.0,Construction,3.7784748,0,M,1,1,Construction,,"6840, 'Unemployed', 6840"
2715030p,23.0,6230,Construction,6230.0,Construction,1.2483683,0,M,1,1,Construction,,6230
2292186p,20.0,6230,Construction,220.0,Construction,5.4540787,0,F,0,0,Construction,,"6230, 220"
6612,24.25,6220,Construction,,Not Employed,,0,M,0,0,Construction,,"6220, 8200, 'Unemployed'"
7656,28.916666,6230,Construction,6260.0,Construction,-11.818317,0,M,1,1,Construction,,"6230, 6250, 6260"
6093176p,28.0,6260,Construction,4250.0,Personal Service,-9.8706007,0,M,0,0,Construction,,"6260, 4250"
250031p,28.0,6320,Construction,6320.0,Construction,-0.52350235,0,M,1,1,Construction,,6320
445184p,32.0,6310,Construction,6310.0,Construction,-0.49318695,0,M,1,1,Construction,,6310
405,22.583334,6260,Construction,1040.0,IT,-4.6391792,0,M,1,2,Construction,,"6260, 'Student', 4850, 1040"
2890,23.916666,6260,Construction,6260.0,Construction,5.7349091,0,M,1,3,Construction,,"6260, 'Unemployed', 6260"
4600,22.916666,6660,Construction,1100.0,IT,24.076588,0,M,1,3,Construction,,"6660, 1100"
5922236p,26.0,6230,Construction,4030.0,Personal Service,-0.49135876,0,M,0,1,Construction,,"6230, 'Unemployed', 4030"
8528,20.083334,6440,Construction,6440.0,Construction,3.2274599,0,M,1,1,Construction,,6440
621,19.166666,6200,Construction,6200.0,Construction,-1.6079865,0,M,0,0,Construction,,6200
8804,20.083334,6260,Construction,6260.0,Construction,7.1457367,0,M,0,0,Construction,,6260
5054032p,24.0,6240,Construction,1320.0,Engineer/Sci/Arch,22.269238,0,M,3,3,Construction,,"6240, 1320, 1410, 1320"
2601035p,21.0,6200,Construction,9810.0,All other,1.4532394,0,M,1,1,Construction,,"6200, 9810"
3199170p,30.0,6350,Construction,6600.0,Construction,0.93925333,0,M,1,1,Construction,,"6350, 6600"
2700,20.166666,6260,Construction,,Not Employed,,0,M,0,1,Construction,,"6260, 'Student', 6260, 'Student', 220, 'Student'"
6485,23.333334,6200,Construction,6200.0,Construction,5.3253212,0,M,1,1,Construction,,6200
2708033p,26.0,6520,Construction,6200.0,Construction,7.9701691,0,M,0,0,Construction,,"6520, 6200"
2302030p,29.0,6230,Construction,6230.0,Construction,-0.56832886,0,M,1,1,Construction,,"6230, 6200, 6230"
1925031p,24.0,6230,Construction,6230.0,Construction,4.8346615,0,M,3,3,Construction,,6230
1837032p,21.0,6260,Construction,4050.0,Personal Service,-1.9553547,0,M,1,1,Construction,,"6260, 4050"
1394186p,22.0,6230,Construction,6230.0,Construction,-3.5068846,0,M,0,0,Construction,,6230
5018032p,33.0,6420,Construction,,Not Employed,,0,M,1,1,Construction,,"6420, 'Unemployed', 6420, 'Unemployed'"
6801192p,27.0,6200,Construction,9130.0,Transportation,0.65758801,0,M,1,1,Construction,,"6200, 'Unemployed', 6200, 'Unemployed', 9130"
1893033p,31.0,6440,Construction,6440.0,Construction,11.328274,0,M,0,0,Construction,,6440
1976,24.583334,6320,Construction,6320.0,Construction,-24.869429,0,M,1,1,Construction,,"6320, 6260, 6320"
5499030p,34.0,6260,Construction,6260.0,Construction,-1.8213615,0,M,0,0,Construction,,6260
6127036p,23.0,6200,Construction,,Not Employed,,0,M,1,1,Construction,,"6200, 'Unemployed'"
3285001p,33.0,6200,Construction,6200.0,Construction,-1.5715122,0,M,1,1,Construction,,6200
2996,20.916666,6260,Construction,,Not Employed,,0,M,1,1,Construction,,"6260, 'Unemployed'"
2411174p,19.0,6260,Construction,6260.0,Construction,-1.4626989,0,M,1,1,Construction,,6260
2845183p,30.0,6200,Construction,6200.0,Construction,1.5060577,0,M,1,1,Construction,,6200
5613200p,30.0,6350,Construction,6350.0,Construction,-0.13811874,0,M,0,0,Construction,,6350
8943,28.666666,6260,Construction,4250.0,Personal Service,-1.4118128,0,M,1,1,Construction,,"6260, 'Unemployed', 4250"
7481,19.583334,6500,Construction,6350.0,Construction,-1.0110607,0,M,0,0,Construction,,"6500, 6350"
1144033p,29.0,6260,Construction,6200.0,Construction,-2.0681152,0,M,1,1,Construction,,"6260, 'Unemployed', 6200, 'Unemployed', 6200"
3876,19.916666,6420,Construction,7510.0,Maintenance/Repair,-18.434105,0,M,0,0,Construction,,"6420, 'Unemployed', 7510"
2590033p,29.0,6230,Construction,6230.0,Construction,3.1129313,0,M,1,1,Construction,,6230
4848,18.416666,6350,Construction,6350.0,Construction,0.87127686,0,M,0,1,Construction,,6350
7748,21.166666,6520,Construction,6520.0,Construction,1.5959568,0,M,0,0,Construction,,6520
1579037p,26.0,6320,Construction,6320.0,Construction,1.2399178,0,M,1,1,Construction,,6320
455183p,22.0,6440,Construction,6440.0,Construction,4.1792164,0,M,1,1,Construction,,6440
88,20.25,6200,Construction,6220.0,Construction,11.270807,0,M,0,1,Construction,,"6200, 6220"
5108,18.416666,6260,Construction,6260.0,Construction,4.3864174,0,M,0,1,Construction,,"6260, 4720, 6260, 'Student', 6260"
7355,20.5,6330,Construction,6330.0,Construction,5.6224136,0,M,1,1,Construction,,"6330, 'Unemployed', 6330"
2662030p,32.0,6320,Construction,6320.0,Construction,35.363747,0,M,1,1,Construction,,"6320, 220, 6320"
2615036p,29.0,6440,Construction,6130.0,All other,14.617928,0,M,1,1,Construction,,"6440, 6130"
1335047p,22.0,6260,Construction,6230.0,Construction,-14.507408,0,M,1,1,Construction,,"6260, 6230"
6325,21.583334,6230,Construction,,Not Employed,,0,M,1,1,Construction,,"6230, 'Unemployed', 'Student'"
941184p,20.0,6200,Construction,9000.0,Transportation,1.0598087,0,M,1,1,Construction,,"6200, 9000"
6545040p,19.0,6350,Construction,,Not Employed,,0,M,1,1,Construction,,"6350, 'Unemployed', 6350, 7750, 'Unemployed'"
423032p,24.0,6230,Construction,6230.0,Construction,-3.5095768,0,M,0,0,Construction,,6230
361176p,28.0,6760,Construction,4700.0,Sales,-3.0788479,0,M,1,1,Construction,,"6760, 4700"
2907036p,20.0,6360,Construction,,Not Employed,,0,M,1,1,Construction,,"6360, 'Unemployed'"
2119034p,32.0,6260,Construction,,Not Employed,,0,M,1,1,Construction,,"6260, 'Unemployed'"
1081177p,27.0,6710,Construction,6710.0,Construction,4.5980377,0,M,1,1,Construction,,6710
4397,21.916666,6320,Construction,6320.0,Construction,3.4021235,0,M,0,0,Construction,,6320
2411031p,31.0,6230,Construction,220.0,Construction,1.075943,0,M,0,0,Construction,,"6230, 220"
1711031p,26.0,6200,Construction,6200.0,Construction,0.06172657,0,M,1,1,Construction,,6200
6084,26.25,6230,Construction,6420.0,Construction,-1.9764194,0,M,0,1,Construction,,"6230, 6420, 'Unemployed', 6420, 'Unemployed', 6420, 'Unemployed', 6420"
1720032p,25.0,6350,Construction,6200.0,Construction,9.042408,0,M,1,1,Construction,,"6350, 6200"
2191037p,21.0,6260,Construction,,Not Employed,,0,M,1,1,Construction,,"6260, 'Unemployed'"
2436030p,26.0,6230,Construction,220.0,Construction,29.056919,0,M,1,2,Construction,,"6230, 220"
1786207p,24.0,6240,Construction,4720.0,Sales,4.6458349,0,M,0,1,Construction,,"6240, 4720"
8352,21.5,6230,Construction,,Not Employed,,0,M,0,1,Construction,,"6230, 'Unemployed'"
2598,19.583334,6350,Construction,6350.0,Construction,8.638876,0,M,1,1,Construction,,6350
1336187p,19.0,6230,Construction,9500.0,Transportation,-2.2179384,0,F,0,0,Construction,,"6230, 9500, 'Unemployed', 9500, 'Unemployed', 9500"
1720182p,25.0,6260,Construction,6250.0,Construction,-1.4287453,0,M,1,1,Construction,,"6260, 6250"
603,18.416666,6330,Construction,6330.0,Construction,13.340956,0,M,0,1,Construction,,6330
1939172p,30.0,6230,Construction,2550.0,Educ/Legal/Social Services,3.8548985,0,M,3,3,Construction,,"6230, 2550"
